,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
23,902967868,20190201,201902,2019,2019.0849,UAF,GUNMAN,,,,,,UAF,,,COP,PRISON,,,,,,COP,,,0,173,173,17,4,-5.0,10,1,10,-7.064017660044151,4,"Quebec, Quebec, Canada",CA,CA10,47.5,-72.0,-571850,4,"Quebec, Quebec, Canada",CA,CA10,47.5,-72.0,-571850,4,"Quebec, Quebec, Canada",CA,CA10,47.5,-72.0,-571850,20200201,https://montreal.ctvnews.ca/legault-won-t-alert-police-to-hateful-comments-about-muslims-on-his-facebook-post-1.4792046
24,902967869,20190201,201902,2019,2019.0849,UKR,UKRAINE,UKR,,,,,,,,USA,UNITED STATES,USA,,,,,,,,0,36,36,3,1,4.0,20,10,20,-2.36182626635854,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,50.4333,30.5167,-1044367,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,50.4333,30.5167,-1044367,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,50.4333,30.5167,-1044367,20200201,https://www.tauntongazette.com/zz/news/20200131/pompeo-plays-clean-up-in-ukraine-as-trump-trial-nears-end
25,902967870,20190201,201902,2019,2019.0849,UKR,UKRAINE,UKR,,,,,,,,USA,AMERICAN,USA,,,,,,,,1,36,36,3,1,4.0,66,11,66,-2.28598883951621,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,50.4333,30.5167,-1044367,3,"White House, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,50.4333,30.5167,-1044367,20200201,https://www.tauntongazette.com/zz/news/20200131/pompeo-plays-clean-up-in-ukraine-as-trump-trial-nears-end
26,902967871,20190201,201902,2019,2019.0849,UKR,UKRAINE,UKR,,,,,,,,USA,UNITED STATES,USA,,,,,,,,1,36,36,3,1,4.0,22,11,22,-2.28598883951621,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,50.4333,30.5167,-1044367,3,"White House, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,3,"White House, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,20200201,https://www.tauntongazette.com/zz/news/20200131/pompeo-plays-clean-up-in-ukraine-as-trump-trial-nears-end
27,902967872,20190201,201902,2019,2019.0849,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,0,71,71,7,2,7.4,124,31,124,-1.27345190434232,3,"South Bend, Indiana, United States",US,USIN,41.6834,-86.25,452796,0,,,,,,,3,"South Bend, Indiana, United States",US,USIN,41.6834,-86.25,452796,20200201,https://www.news4jax.com/news/politics/2020/01/31/candidates-brace-for-frenzied-weekend-of-iowa-campaigning/
28,902967873,20190201,201902,2019,2019.0849,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,0,193,193,19,4,-10.0,5,1,5,0.0,3,"Katy Mills, Texas, United States",US,USTX,29.7713,-95.8091,2044578,0,,,,,,,3,"Katy Mills, Texas, United States",US,USTX,29.7713,-95.8091,2044578,20200201,https://www.chron.com/neighborhood/neighborhood/katy/news/article/Katy-city-officials-mark-city-s-growth-15020696.php
29,902967874,20190201,201902,2019,2019.0849,USA,UNITED STATES,USA,,,,,,,,RUS,RUSSIAN,RUS,,,,,,,,0,190,190,19,4,-10.0,2,2,2,-4.08267851042023,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,20200201,https://www.commercialappeal.com/story/news/politics/2020/01/31/trump-impeachment-trial-senate-could-acquit-president-friday/2856596001/
30,902967875,20190201,201902,2019,2019.0849,USA,UNITED STATES,USA,,,,,,,,RUS,RUSSIAN,RUS,,,,,,,,0,190,190,19,4,-10.0,33,33,33,-4.17938482517069,3,"White House, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,1,Russia,RS,RS,60.0,100.0,RS,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,50.4333,30.5167,-1044367,20200201,https://www.commercialappeal.com/story/news/politics/2020/01/31/trump-impeachment-trial-senate-could-acquit-president-friday/2856596001/
31,902967876,20190201,201902,2019,2019.0849,USA,UNITED STATES,USA,,,,,,,,UKR,UKRAINE,UKR,,,,,,,,1,36,36,3,1,4.0,22,11,22,-2.28598883951621,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,50.4333,30.5167,-1044367,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,50.4333,30.5167,-1044367,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,50.4333,30.5167,-1044367,20200201,https://www.tauntongazette.com/zz/news/20200131/pompeo-plays-clean-up-in-ukraine-as-trump-trial-nears-end
32,902967877,20190201,201902,2019,2019.0849,USA,AMERICAN,USA,,,,,,,,UKR,UKRAINE,UKR,,,,,,,,1,36,36,3,1,4.0,65,11,65,-2.28598883951621,3,"White House, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,50.4333,30.5167,-1044367,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,50.4333,30.5167,-1044367,20200201,https://www.tauntongazette.com/zz/news/20200131/pompeo-plays-clean-up-in-ukraine-as-trump-trial-nears-end
